parent_page_id,lang,child_id,child_title,child_name,parent_name,link,content,content_txt
3,us,4,What file types do we accept?,what-file-types-do-we-accept,preparing-files,https://stickerapp.com/support/preparing-files/what-file-types-do-we-accept,"<p>We accept PDF, PNG, JPEG, SVG, TIF, AI or PSD files.&nbsp;</p>
<p>We suggest a CMYK PDF for the most accurate colors and clear printing.</p>
<p>&nbsp;</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","We accept PDF, PNG, JPEG, SVG, TIF, AI or PSD files. 
We suggest a CMYK PDF for the most accurate colors and clear printing.
 
Make custom stickers"
3,us,5,What if my art is low resolution?,what-if-my-art-is-low-resolution,preparing-files,https://stickerapp.com/support/preparing-files/what-if-my-art-is-low-resolution,"<p><span style=""font-weight: 400;"">Once you upload your artwork, you will receive a warning if your artwork is low resolution.</span></p>
<p><span style=""font-weight: 400;"">It is up to you to decide if you are ok with having them printed in low resolution. Otherwise you can simply upload a new file with high resolution. </span></p>
<p><span style=""font-weight: 400;"">With the warning of ""average resolution"" your stickers should come out ok as long as you are not super picky about sharp lines. However we do suggest to upload a vector PDF or image of 300 DPI in the size of your printing.</span></p>
<p><span style=""font-weight: 400;"">You can email us if you are concerned about it and we can see how we can help.</span></p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","Once you upload your artwork, you will receive a warning if your artwork is low resolution.
It is up to you to decide if you are ok with having them printed in low resolution. Otherwise you can simply upload a new file with high resolution. 
With the warning of ""average resolution"" your stickers should come out ok as long as you are not super picky about sharp lines. However we do suggest to upload a vector PDF or image of 300 DPI in the size of your printing.
You can email us if you are concerned about it and we can see how we can help.
Make custom stickers"
3,us,6,Can you print photos/illustrators as stickers?,can-you-print-photos-illustrators,preparing-files,https://stickerapp.com/support/preparing-files/can-you-print-photos-illustrators,"<p>Yes we print all images, including, photos, illustrations, gradients, or anything else!</p>
[InstagramGallery account=""stickerapp"" title="""" tag="""" limit=""1"" cols=""4"" selected=""3825,3813,3800,3799""]
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","Yes we print all images, including, photos, illustrations, gradients, or anything else!
[InstagramGallery account=""stickerapp"" title="""" tag="""" limit=""1"" cols=""4"" selected=""3825,3813,3800,3799""]
Make custom stickers"
1798,us,7,How do I make a true black?,how-do-i-make-a-true-black,how-to,https://stickerapp.com/support/how-to/how-do-i-make-a-true-black,"<p>There are different shades of black, such as: regular black, carbon black, midnight black, charcoal gray, black blue and rich black. You can choose which shade of black you want on the sticker because it makes a big difference to the design and also to the effect if you have chosen it. Whatever shade of black you choose for your sticker, it is important to think about how it will look in relation to other colors and backgrounds.&nbsp;</p>
<p>At Stickerapp, we print stickers in CMYK which stands for cyan, magenta, yellow and black. By using a combination of these four colors, you can get a variety of colors on your stickers, including a rich shade of black. But if you want a true black color that gives your sticker that extra weight, we can do that too!</p>
<h2>Step by step for rich blackness on the sticker</h2>
<p><strong>1. Choose the cut</strong><br />Start by choosing the cut of the sticker. Should they be contoured or round? There are several options to choose from.</p>
<p><strong>2. Choose the size and quantity</strong><br />Now it's time to choose the size and quantity of your stickers. StickerApp offers a variety of sizes and quantities to suit your needs. Consider how you plan to use your stickers when choosing the size and quantity.</p>
<p><strong>3. Choose the material</strong><br />There are several different materials to choose from. If you click on the arrow next to special materials, the materials will appear. Think about what your stickers will be used for and choose the most suitable material.</p>
<p><strong>4. Upload the design to the StickerApp</strong><br />Once you have created your design in your chosen program, you can upload it to the StickerApp website. You can do this by clicking on ""Upload image"" (important to know the file formats that support CMYK before ordering).</p>
<p><strong>5. Adding masked effect layers</strong><br />The next step allows you to add masked effect layers only when selecting these materials: holographic, transparent, glitter, prismatic, brushed aluminum and mirror vinyl. This is done by uploading a file or writing instructions for your sticker's effect.</p>
<p><strong>6. Choose your laminate</strong><br />Choose which laminate you want on your stickers, matte or glossy sticker. Laminate protects the stickers from scratches and UV rays to ensure they last longer.</p>
<p><strong>7. Write a message</strong><br />In the message box you can write ""Double black"". If you have other requests or want to add something, like a window sticker etc. you can write it in the message box.</p>
<p><strong>8. Change size, number of stickers, cut or material</strong><br />If you want to undo or change the size or number of stickers, you don't have to go back, you can do it on the same page. The same applies to cutting and materials.</p>
<p><strong>9. Text on the sticker</strong><br />If you want text on the sticker, you can both write and choose the color of the text style. Then you can choose where it should be placed by clicking on the text and dragging it.</p>
<p><strong>10. Choose a design</strong><br />If you want to make your sticker even more unique and personalized, you can choose from different designs. You can select a category that suits your design, and then choose a motif that fits best.</p>
<p><strong>11. Check the design and order</strong><br />Before finalizing your order, make sure to check your design carefully for any typos or other mistakes. Once you are satisfied with the design, you can finalize your order by clicking ""Add to cart"" and then following the instructions to complete your order.</p>
<p>We recommend using CMYK values of 40,40,40,100 for rich black.</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","There are different shades of black, such as: regular black, carbon black, midnight black, charcoal gray, black blue and rich black. You can choose which shade of black you want on the sticker because it makes a big difference to the design and also to the effect if you have chosen it. Whatever shade of black you choose for your sticker, it is important to think about how it will look in relation to other colors and backgrounds. 
At Stickerapp, we print stickers in CMYK which stands for cyan, magenta, yellow and black. By using a combination of these four colors, you can get a variety of colors on your stickers, including a rich shade of black. But if you want a true black color that gives your sticker that extra weight, we can do that too!
Step by step for rich blackness on the sticker
1. Choose the cutStart by choosing the cut of the sticker. Should they be contoured or round? There are several options to choose from.
2. Choose the size and quantityNow it's time to choose the size and quantity of your stickers. StickerApp offers a variety of sizes and quantities to suit your needs. Consider how you plan to use your stickers when choosing the size and quantity.
3. Choose the materialThere are several different materials to choose from. If you click on the arrow next to special materials, the materials will appear. Think about what your stickers will be used for and choose the most suitable material.
4. Upload the design to the StickerAppOnce you have created your design in your chosen program, you can upload it to the StickerApp website. You can do this by clicking on ""Upload image"" (important to know the file formats that support CMYK before ordering).
5. Adding masked effect layersThe next step allows you to add masked effect layers only when selecting these materials: holographic, transparent, glitter, prismatic, brushed aluminum and mirror vinyl. This is done by uploading a file or writing instructions for your sticker's effect.
6. Choose your laminateChoose which laminate you want on your stickers, matte or glossy sticker. Laminate protects the stickers from scratches and UV rays to ensure they last longer.
7. Write a messageIn the message box you can write ""Double black"". If you have other requests or want to add something, like a window sticker etc. you can write it in the message box.
8. Change size, number of stickers, cut or materialIf you want to undo or change the size or number of stickers, you don't have to go back, you can do it on the same page. The same applies to cutting and materials.
9. Text on the stickerIf you want text on the sticker, you can both write and choose the color of the text style. Then you can choose where it should be placed by clicking on the text and dragging it.
10. Choose a designIf you want to make your sticker even more unique and personalized, you can choose from different designs. You can select a category that suits your design, and then choose a motif that fits best.
11. Check the design and orderBefore finalizing your order, make sure to check your design carefully for any typos or other mistakes. Once you are satisfied with the design, you can finalize your order by clicking ""Add to cart"" and then following the instructions to complete your order.
We recommend using CMYK values of 40,40,40,100 for rich black.
Make custom stickers"
8,us,9,Can I cut out areas within the stickers?,can-cut-holes-out-from-the-middle-of-the-stickers,cutlines,https://stickerapp.com/support/cutlines/can-cut-holes-out-from-the-middle-of-the-stickers,"<p><strong>Yes, we can</strong> make almost all custom cutlines for your stickers. We can also cut away&nbsp;spaces within the sticker if you wish.</p>
<p>You can include your own cutline in a PDF with your design and we can use that when we produce your stickers.</p>
<p>Please write a comment to use your cutline so we do not mistake it for part of the artwork.</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","Yes, we can make almost all custom cutlines for your stickers. We can also cut away spaces within the sticker if you wish.
You can include your own cutline in a PDF with your design and we can use that when we produce your stickers.
Please write a comment to use your cutline so we do not mistake it for part of the artwork.
Make custom stickers"
8,us,10,Can you make hang tag stickers?,can-we-make-hang-tag-stickers,cutlines,https://stickerapp.com/support/cutlines/can-we-make-hang-tag-stickers,"<p class=""lead""><strong>Yes, we can </strong>make your stickers with an extra space and hole cutout to be used as hang tags.</p>
<h2>What are hang tag stickers?</h2>
<p>Hang tag stickers are adhesive labels that are designed to be attached to products or items using a hanging tag. These stickers typically include important product information, such as brand name, product name, price, size, and other details.</p>
<p>Hang tag stickers are commonly used in retail settings, such as clothing stores, gift shops, and artisan markets, to provide customers with detailed information about the products they are considering purchasing. They can also be used to promote special deals or discounts, to indicate new products or collections, or to provide care instructions for clothing or other products.</p>
<p>Hang tag stickers are available in a variety of shapes, sizes, and materials, depending on the specific needs of the product or the retailer. They can be made from paper, vinyl, or other materials, and may include a variety of design elements, such as logos, graphics, and text.</p>
<p>Overall, hang tag stickers are an effective way to provide customers with important product information in a clear and concise way, while also adding a professional and branded touch to products and merchandise.</p>
<p><strong>You can include this in your own cutline or write a comment when you place your order so we can help you out.&nbsp;</strong></p>
<p>&nbsp;</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Print hang tag stickers"" href=""https://stickerapp.com/stickers/hang-tag-stickers"">Read about hang tag stickers</a> <a class=""btn btn-primary"" title=""Make custom hang tag stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","Yes, we can make your stickers with an extra space and hole cutout to be used as hang tags.
What are hang tag stickers?
Hang tag stickers are adhesive labels that are designed to be attached to products or items using a hanging tag. These stickers typically include important product information, such as brand name, product name, price, size, and other details.
Hang tag stickers are commonly used in retail settings, such as clothing stores, gift shops, and artisan markets, to provide customers with detailed information about the products they are considering purchasing. They can also be used to promote special deals or discounts, to indicate new products or collections, or to provide care instructions for clothing or other products.
Hang tag stickers are available in a variety of shapes, sizes, and materials, depending on the specific needs of the product or the retailer. They can be made from paper, vinyl, or other materials, and may include a variety of design elements, such as logos, graphics, and text.
Overall, hang tag stickers are an effective way to provide customers with important product information in a clear and concise way, while also adding a professional and branded touch to products and merchandise.
You can include this in your own cutline or write a comment when you place your order so we can help you out. 
 
Read about hang tag stickers Make custom stickers"
8,us,11,Can I include a custom cutline for my sticker?,can-i-include-my-own-cutlines,cutlines,https://stickerapp.com/support/cutlines/can-i-include-my-own-cutlines,"<p>Yes, yes you can create your own custom cutline.</p>
<p>Make sure to leave a comment that you have included your own cutline when you place your order.</p>
<p>You will need to have a 0.075"" safety margin for your artwork and a 0.075"" bleed if your artwork has a full bleed.</p>
<h3>How to create your own cutline</h3>
<p>1. Open your art in Adobe Illustrator.</p>
<p>2. Create your cutline as a path.</p>
<p>3. Create a&nbsp;swatch as a spot color named ""Die Cut"" and the color 100% Magenta</p>
<p>Save your file as a PDF or AI and use that to order your custom stickers with. You should see your cutline being read when you upload your file, if not please write a comment so we make sure to use it.&nbsp;</p>
<p>You can download an exmaple file if you wish to use the eye dropper to create your swatch correctly in Adobe Illustrator. You can also save this swatch to your library for future use.</p>
<p>Download file <a href=""https://d6ce0no7ktiq.cloudfront.net/images/attachment/2019/04/18/359498.pdf"">here</a></p>
[OEMBED ratio=""16-by-9""]<iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/_biYTKX_Lyg"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen"" data-mce-fragment=""1""></iframe>[/OEMBED]
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","Yes, yes you can create your own custom cutline.
Make sure to leave a comment that you have included your own cutline when you place your order.
You will need to have a 0.075"" safety margin for your artwork and a 0.075"" bleed if your artwork has a full bleed.
How to create your own cutline
1. Open your art in Adobe Illustrator.
2. Create your cutline as a path.
3. Create a swatch as a spot color named ""Die Cut"" and the color 100% Magenta
Save your file as a PDF or AI and use that to order your custom stickers with. You should see your cutline being read when you upload your file, if not please write a comment so we make sure to use it. 
You can download an exmaple file if you wish to use the eye dropper to create your swatch correctly in Adobe Illustrator. You can also save this swatch to your library for future use.
Download file here
[OEMBED ratio=""16-by-9""][/OEMBED]
Make custom stickers"
12,us,13,Where can I make an account?,where-can-i-make-an-account,your-account,https://stickerapp.com/support/your-account/where-can-i-make-an-account,"<p>In the upper right hand corner, with the icon of a person.</p>
<p>You will also have the option when you checkout to create an account.</p>","In the upper right hand corner, with the icon of a person.
You will also have the option when you checkout to create an account."
12,us,14,Why would I want to make an account?,why-would-i-want-to-make-an-account,your-account,https://stickerapp.com/support/your-account/why-would-i-want-to-make-an-account,"<p>When you make account you can easily manage your orders, check out faster, and reorder with ease.</p>
<p>Your account will include all of your past orders which give you an overview or which stickers you have ordered in the past. It also makes it easy to reorder past orders.&nbsp;</p>
<p>It allows you to keep track of your order and follow its progress.</p>
<p>By making an account, all of your shipping and billing information will be saved so you do not need to enter it each time.</p>
<p>&nbsp;</p>","When you make account you can easily manage your orders, check out faster, and reorder with ease.
Your account will include all of your past orders which give you an overview or which stickers you have ordered in the past. It also makes it easy to reorder past orders. 
It allows you to keep track of your order and follow its progress.
By making an account, all of your shipping and billing information will be saved so you do not need to enter it each time.
 "
15,us,16,Can I track my sticker order?,how-can-i-track-my-package,delivery,https://stickerapp.com/support/delivery/how-can-i-track-my-package,"<p class=""p1""><span class=""s1"">Yes, once your order ships, you will get an automatic email with your tracking number for your <a href=""https://stickerapp.com/sticker-shop/recent"">stickers from the library</a> and <a href=""https://stickerapp.com/custom-stickers"">custom-made stickers</a>.</span></p>
<p class=""p1""><span class=""s1"">If you are concerned about your delivery date, you may send us an email to make sure your stickers are on track.</span></p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Our sticker materials"" href=""https://stickerapp.com/materials"">Sticker materials</a> <a class=""btn btn-primary"" title=""Print custom stickers"" href=""https://stickerapp.com/custom-stickers"">Print stickers</a></p>","Yes, once your order ships, you will get an automatic email with your tracking number for your stickers from the library and custom-made stickers.
If you are concerned about your delivery date, you may send us an email to make sure your stickers are on track.
Sticker materials Print stickers"
